guid,name,source_guid,source_type,target_guid,target_type,creation_timestamp,creation_source
7e51fd6b-1116-8ac8-588d-200bcee5f84c,events_system_belongs_to_feature_management,35836f30-7fd4-ed81-d7e4-ce319f13e50b,system,61b7d958-ea84-6ff1-1e2d-35bfcf551e57,domain,2025-04-23T20:16:30.336054,posthog/posthog_fork/README.md
cf3d2223-6070-17a1-ba18-960f2f67de87,events_system_belongs_to_web_analytics,35836f30-7fd4-ed81-d7e4-ce319f13e50b,system,e12111e7-5486-4a9c-dfff-ddfdc9bb1154,domain,2025-04-23T20:16:30.336065,posthog/posthog_fork/README.md
e625b882-7192-f0b4-cba4-37e3259e8230,insights_system_belongs_to_user_research,69baab2d-80ea-fba3-58c5-26baecc577e5,system,333d65da-2c3d-1ee7-cf87-599b51082d10,domain,2025-04-23T20:16:30.336073,posthog/posthog_fork/README.md
5b0f0a56-937d-f181-80cf-71352495fcb8,insights_system_belongs_to_web_analytics,69baab2d-80ea-fba3-58c5-26baecc577e5,system,e12111e7-5486-4a9c-dfff-ddfdc9bb1154,domain,2025-04-23T20:16:30.336081,posthog/posthog_fork/README.md
1b4a8d8e-3bf8-9bdb-ed4e-4393c7d77d38,feature_flags_system_belongs_to_web_analytics,05ec9cb7-8423-808f-4346-8009d1ab2c72,system,e12111e7-5486-4a9c-dfff-ddfdc9bb1154,domain,2025-04-23T20:16:30.336088,posthog/posthog_fork/README.md
74f83cb4-daad-e128-bfaf-8e5843e6f40a,feature_flags_system_belongs_to_product_analytics,05ec9cb7-8423-808f-4346-8009d1ab2c72,system,53e8907f-cd6b-f099-36be-bf43935fb110,domain,2025-04-23T20:16:30.336096,posthog/posthog_fork/README.md
e68d0072-58cd-a339-2566-d1de242d7dd4,experimentation_system_belongs_to_customer_messaging,f74eff3d-010a-9b26-577b-cfbcd5f5909a,system,79514847-09b8-2912-2423-6c03517954b9,domain,2025-04-23T20:16:30.336103,posthog/posthog_fork/README.md
554c9e8e-2d88-ee7e-6631-aacbf80b2b19,session_replay_system_belongs_to_llm_observability,92325ce2-5758-9d91-12a3-0f9383484233,system,0ae91c6c-c86a-192b-dc19-87168c6398d4,domain,2025-04-23T20:16:30.336111,posthog/posthog_fork/README.md
9fe50145-c969-6045-56f1-db705654ea60,session_replay_system_belongs_to_feature_management,92325ce2-5758-9d91-12a3-0f9383484233,system,61b7d958-ea84-6ff1-1e2d-35bfcf551e57,domain,2025-04-23T20:16:30.336119,posthog/posthog_fork/README.md
3b3dd40e-fef3-4264-6ecf-f8fafe5c692f,surveys_system_belongs_to_product_analytics,5003cbeb-9895-cd79-99f2-1f8f58a148d2,system,53e8907f-cd6b-f099-36be-bf43935fb110,domain,2025-04-23T20:16:30.336126,posthog/posthog_fork/README.md
72ab1e11-c2da-93cc-99d3-99eb6810c4a8,data_pipeline_system_belongs_to_customer_messaging,f999dde8-9efd-2195-9e08-195e7a990c46,system,79514847-09b8-2912-2423-6c03517954b9,domain,2025-04-23T20:16:30.336134,posthog/posthog_fork/README.md
41cdcc7f-55f1-2741-2221-13fefccd9ac9,data_pipeline_system_belongs_to_user_research,f999dde8-9efd-2195-9e08-195e7a990c46,system,333d65da-2c3d-1ee7-cf87-599b51082d10,domain,2025-04-23T20:16:30.336142,posthog/posthog_fork/README.md
f1b27623-55db-90f9-1422-81c0e2e76be8,data_warehouse_system_belongs_to_product_analytics,933e2950-35cd-3d8a-87ee-817e098e57cc,system,53e8907f-cd6b-f099-36be-bf43935fb110,domain,2025-04-23T20:16:30.336149,posthog/posthog_fork/README.md
05eecce3-4203-47a4-5d85-37106c5f0c22,data_warehouse_system_belongs_to_feature_management,933e2950-35cd-3d8a-87ee-817e098e57cc,system,61b7d958-ea84-6ff1-1e2d-35bfcf551e57,domain,2025-04-23T20:16:30.336157,posthog/posthog_fork/README.md
e89bf715-d907-7ffb-7506-9564ad56f3c6,web_analytics_system_belongs_to_web_analytics,0ab65ec7-3cb5-94d3-5260-1dad12b351c0,system,e12111e7-5486-4a9c-dfff-ddfdc9bb1154,domain,2025-04-23T20:16:30.336164,posthog/posthog_fork/README.md
da893c95-df3c-698b-26d8-45053ae67d9d,web_analytics_system_belongs_to_user_research,0ab65ec7-3cb5-94d3-5260-1dad12b351c0,system,333d65da-2c3d-1ee7-cf87-599b51082d10,domain,2025-04-23T20:16:30.336172,posthog/posthog_fork/README.md
815cf2be-f8d9-6185-a849-71a53dbd4177,messaging_system_belongs_to_feature_management,9854f63a-72b7-16e6-a00b-0414fa16fce0,system,61b7d958-ea84-6ff1-1e2d-35bfcf551e57,domain,2025-04-23T20:16:30.336179,posthog/posthog_fork/README.md
2bcbe3bb-6e80-f94d-2cee-be328537743d,llm_observability_system_belongs_to_product_analytics,7e30c510-f2d3-54f3-2178-236e15ed7f0c,system,53e8907f-cd6b-f099-36be-bf43935fb110,domain,2025-04-23T20:16:30.336187,posthog/posthog_fork/README.md
