guid,name,source_guid,source_type,target_guid,target_type,creation_timestamp,creation_source
3ebaed41-a004-82bf-6a0b-adff0d896802,posthog_js_sdk_1.0.0_deployed_to_kafka_staging,f8a947ea-5337-a1bd-aec0-b2cb77da2ec8,artifact,308909c5-d7b8-bc81-c9b2-f7156a567ec1,resource,2025-04-23T20:14:17.941849,posthog/posthog_fork/terraform
beb08e2f-5826-b83b-b1bc-4a9474719b33,posthog_js_sdk_1.1.0_deployed_to_k8s_production_us,bf5b095a-2bea-838b-e0e2-d96fd6b2091c,artifact,acb4b137-2886-0dbc-24cd-53278778bd2f,resource,2025-04-23T20:14:17.941855,posthog/posthog_fork/terraform
d9b9399b-9302-8851-d285-c9e0c869561f,posthog_js_sdk_1.2.0_deployed_to_s3_production_us,fe202d5d-616d-8913-4c77-815914f60fe6,artifact,732fe334-468f-25ca-01f0-fc0dcd3ca0f4,resource,2025-04-23T20:14:17.941861,posthog/posthog_fork/terraform
6064417d-bf00-7fee-2de9-00c1f4bc1db9,posthog_js_sdk_1.2.0_deployed_to_postgres_staging,fe202d5d-616d-8913-4c77-815914f60fe6,artifact,0541c991-9b46-266b-7ec3-aa1900ca60ba,resource,2025-04-23T20:14:17.941865,posthog/posthog_fork/terraform
309e8333-55c6-7de2-cbce-4217bab5b8cd,posthog_js_sdk_2.0.0_deployed_to_k8s_production_us,83059ae4-e2bc-12a0-af5a-fa39aef6706e,artifact,acb4b137-2886-0dbc-24cd-53278778bd2f,resource,2025-04-23T20:14:17.941870,posthog/posthog_fork/terraform
f3291a7e-4694-1066-0590-d68e248f18e3,posthog_js_sdk_2.0.0_deployed_to_redis_production_eu,83059ae4-e2bc-12a0-af5a-fa39aef6706e,artifact,d6e4bd5c-5994-9c25-5eeb-8fc2189384a3,resource,2025-04-23T20:14:17.941874,posthog/posthog_fork/terraform
3e655a8b-8aae-0cfe-edb7-0c6afd8bc02c,posthog_js_sdk_2.0.0_deployed_to_kafka_staging,83059ae4-e2bc-12a0-af5a-fa39aef6706e,artifact,308909c5-d7b8-bc81-c9b2-f7156a567ec1,resource,2025-04-23T20:14:17.941880,posthog/posthog_fork/terraform
22600c35-a85e-b9d6-9a61-9a66565ca981,posthog_js_sdk_2.1.0_deployed_to_redis_production_us,e4203c60-453d-73fe-5864-27745e80e9e8,artifact,160cbdf6-817d-c27f-9e5b-04d1e974deff,resource,2025-04-23T20:14:17.941884,posthog/posthog_fork/terraform
7f96d8fa-a88a-eca4-d389-8d9fae572ba8,posthog_js_sdk_2.1.0_deployed_to_clickhouse_staging,e4203c60-453d-73fe-5864-27745e80e9e8,artifact,576bdcb0-aba3-5042-1b9e-d8c34d3f65a9,resource,2025-04-23T20:14:17.941889,posthog/posthog_fork/terraform
e963a16a-03e6-6f9d-ce57-5a33d179a1c3,posthog_python_sdk_1.0.0_deployed_to_redis_staging,905cf406-6671-d99d-37a4-b13c954d11b4,artifact,7633fd79-fc9b-14ab-e3c5-6a5baa85817f,resource,2025-04-23T20:14:17.941894,posthog/posthog_fork/terraform
ed5e540c-599f-1278-58ff-7e385265809e,posthog_python_sdk_1.1.0_deployed_to_aws_rds_production,7402d870-6518-c794-5498-8d69b99da315,artifact,7a6ce42f-6891-6256-aac2-9c45c3beafb9,resource,2025-04-23T20:14:17.941899,posthog/posthog_fork/terraform
72db3ab2-b73f-2dfd-152e-a7809c72c12c,posthog_python_sdk_1.1.0_deployed_to_redis_production_us,7402d870-6518-c794-5498-8d69b99da315,artifact,160cbdf6-817d-c27f-9e5b-04d1e974deff,resource,2025-04-23T20:14:17.941903,posthog/posthog_fork/terraform
fef9351b-d9f6-9020-1548-12595da2a636,posthog_python_sdk_1.1.0_deployed_to_s3_production_us,7402d870-6518-c794-5498-8d69b99da315,artifact,732fe334-468f-25ca-01f0-fc0dcd3ca0f4,resource,2025-04-23T20:14:17.941907,posthog/posthog_fork/terraform
74acc774-3c60-fb00-a0db-65fff5eb0023,posthog_python_sdk_1.2.0_deployed_to_aws_eks_production,fff10f18-004e-8c5e-6ace-d0a1aec1d1e1,artifact,c03d7215-05d3-efb5-2074-8b292c0f6fca,resource,2025-04-23T20:14:17.941912,posthog/posthog_fork/terraform
485cc286-a9e0-e454-a07e-9457bc9a040a,posthog_python_sdk_1.2.0_deployed_to_redis_staging,fff10f18-004e-8c5e-6ace-d0a1aec1d1e1,artifact,7633fd79-fc9b-14ab-e3c5-6a5baa85817f,resource,2025-04-23T20:14:17.941916,posthog/posthog_fork/terraform
fe381c15-d6c5-2814-0824-75fac1c8f097,posthog_python_sdk_1.2.0_deployed_to_aws_elb_production,fff10f18-004e-8c5e-6ace-d0a1aec1d1e1,artifact,e6993710-c8b6-76da-f5ce-3ba07faca265,resource,2025-04-23T20:14:17.941920,posthog/posthog_fork/terraform
6b0410c1-301b-456a-ecee-a34cae96d919,posthog_python_sdk_2.0.0_deployed_to_k8s_staging,2509983d-0528-6282-89bb-863605a87dc5,artifact,50f367e8-3637-314a-3ee8-3420f583a321,resource,2025-04-23T20:14:17.941925,posthog/posthog_fork/terraform
4a1415c6-5986-875d-79e7-1a2920765297,posthog_python_sdk_2.0.0_deployed_to_aws_elb_production,2509983d-0528-6282-89bb-863605a87dc5,artifact,e6993710-c8b6-76da-f5ce-3ba07faca265,resource,2025-04-23T20:14:17.941929,posthog/posthog_fork/terraform
807e565d-3e19-834f-00df-a54616343f2d,posthog_python_sdk_2.0.0_deployed_to_s3_production_us,2509983d-0528-6282-89bb-863605a87dc5,artifact,732fe334-468f-25ca-01f0-fc0dcd3ca0f4,resource,2025-04-23T20:14:17.941934,posthog/posthog_fork/terraform
21c30f41-a5a2-f433-8ef6-6cfac1c5b98b,posthog_python_sdk_2.1.0_deployed_to_aws_elb_production,177cfc7d-55f7-a5c0-dcb8-9c8f07b69986,artifact,e6993710-c8b6-76da-f5ce-3ba07faca265,resource,2025-04-23T20:14:17.941939,posthog/posthog_fork/terraform
2e5eaa68-a841-dc47-dbea-d82d2f0bbe28,posthog_node_sdk_1.0.0_deployed_to_aws_cloudfront_production,5fdc490b-e763-f911-9d28-c3896236e6bc,artifact,17c2e331-c2b6-76e0-c799-d8e7ab0021e2,resource,2025-04-23T20:14:17.941944,posthog/posthog_fork/terraform
86dc918b-1818-4bf5-ccfa-bdc36a8b8431,posthog_node_sdk_1.0.0_deployed_to_kafka_production_eu,5fdc490b-e763-f911-9d28-c3896236e6bc,artifact,364bede3-35cc-7067-def0-6950208e0bd3,resource,2025-04-23T20:14:17.941948,posthog/posthog_fork/terraform
08528990-e666-ad47-941c-19ea1741d39e,posthog_node_sdk_1.0.0_deployed_to_redis_production_us,5fdc490b-e763-f911-9d28-c3896236e6bc,artifact,160cbdf6-817d-c27f-9e5b-04d1e974deff,resource,2025-04-23T20:14:17.941952,posthog/posthog_fork/terraform
19802574-732f-b3c4-4a06-83e8431eef93,posthog_node_sdk_1.1.0_deployed_to_snowflake_analytics,20fac4f9-9b50-18e0-1700-025cd883cf18,artifact,90ba58cc-9cda-8f79-aaf1-c051bfcf3092,resource,2025-04-23T20:14:17.941957,posthog/posthog_fork/terraform
a6d0ed09-8e84-e03f-352c-345b0a06b178,posthog_node_sdk_1.1.0_deployed_to_redis_production_us,20fac4f9-9b50-18e0-1700-025cd883cf18,artifact,160cbdf6-817d-c27f-9e5b-04d1e974deff,resource,2025-04-23T20:14:17.941961,posthog/posthog_fork/terraform
