guid,name,source_guid,source_type,target_guid,target_type,creation_timestamp,creation_source
ddd0e76f-998f-09c1-bf2e-a74795fdcb0d,api_analytics_part_of_experimentation_system,9e5f6f41-0661-1b23-ec11-ec216965e609,module,f74eff3d-010a-9b26-577b-cfbcd5f5909a,system,2025-04-23T20:16:30.338650,posthog/posthog_fork/README.md
7053ddf4-7ae7-a466-c22f-01b974d0283c,api_cohorts_part_of_web_analytics_system,94d84bc3-26d5-3f9f-54df-9f08c7077b60,module,0ab65ec7-3cb5-94d3-5260-1dad12b351c0,system,2025-04-23T20:16:30.338659,posthog/posthog_fork/README.md
23f39354-ac7c-72a6-5a67-1005d6dfaa54,api_annotations_part_of_data_pipeline_system,88dc4419-a21e-691f-cfcb-f7cd95c6572e,module,f999dde8-9efd-2195-9e08-195e7a990c46,system,2025-04-23T20:16:30.338666,posthog/posthog_fork/README.md
e2f8ffe8-f44c-e4ef-10fb-db0af97e3c2f,api_dashboards_part_of_surveys_system,1e7b0864-f6d3-8855-c784-037b3fc20b70,module,5003cbeb-9895-cd79-99f2-1f8f58a148d2,system,2025-04-23T20:16:30.338674,posthog/posthog_fork/README.md
10086e50-5181-ceb8-2f99-385fc01be403,api_actions_part_of_authentication_system,10e42902-fcf3-fb5b-b04f-59c2f49f4270,module,3cc6633e-0626-222a-9ce6-fab5812c6f1e,system,2025-04-23T20:16:30.338682,posthog/posthog_fork/README.md
2cc1cf21-144f-7479-df7f-8337d9e8b201,api_organizations_part_of_llm_observability_system,9f8261ef-532d-b33c-f3a9-19d1b0f0e447,module,7e30c510-f2d3-54f3-2178-236e15ed7f0c,system,2025-04-23T20:16:30.338689,posthog/posthog_fork/README.md
19b83672-c8ac-e784-afc9-4a97081c6c2f,api_projects_part_of_experimentation_system,b370c96f-1eeb-9676-9e62-f5964ab3f3ca,module,f74eff3d-010a-9b26-577b-cfbcd5f5909a,system,2025-04-23T20:16:30.338697,posthog/posthog_fork/README.md
b2b365a6-58db-ce89-9698-bac1aa3cd9d2,api_plugins_part_of_feature_flags_system,94ceeb14-71fc-eb20-e5ea-efa270e0aa05,module,05ec9cb7-8423-808f-4346-8009d1ab2c72,system,2025-04-23T20:16:30.338704,posthog/posthog_fork/README.md
925e44a5-f0fe-e0f3-b2b9-a6b6a992a112,api_plugin_configs_part_of_data_warehouse_system,9f14b7c5-7185-9788-f57a-1611b2820e55,module,933e2950-35cd-3d8a-87ee-817e098e57cc,system,2025-04-23T20:16:30.338711,posthog/posthog_fork/README.md
5e4f6fe1-1655-e1ea-4337-c1c5429ce111,api_exports_part_of_messaging_system,efcece44-191c-392b-e114-a82eea636144,module,9854f63a-72b7-16e6-a00b-0414fa16fce0,system,2025-04-23T20:16:30.338719,posthog/posthog_fork/README.md
f74458c2-78d0-3e49-f87e-f3c23a82ae44,api_performance_part_of_llm_observability_system,f859178b-55c1-1d9d-02db-d17faf12c658,module,7e30c510-f2d3-54f3-2178-236e15ed7f0c,system,2025-04-23T20:16:30.338726,posthog/posthog_fork/README.md
2cdb2861-558f-c050-4b98-50a9222521df,api_property_definitions_part_of_insights_system,b53d7bda-05d1-7fbf-4297-c69bcd54d06f,module,69baab2d-80ea-fba3-58c5-26baecc577e5,system,2025-04-23T20:16:30.338734,posthog/posthog_fork/README.md
c04c4013-dd13-948c-d8f0-abd5fec58710,api_event_definitions_part_of_infrastructure_system,84ae920b-2371-7243-ee53-0e4fa37b0981,module,f02f522c-d786-b1a5-06c9-8288181c73e6,system,2025-04-23T20:16:30.338742,posthog/posthog_fork/README.md
