guid,name,creation_timestamp,creation_source,spec_description,spec_purpose
ef5eb8e4-3492-a187-4a7a-2c50d796f253,ci_workflow,2025-04-23T18:42:44.391565,posthog/posthog_fork/.github/workflows/ci.yml,Continuous integration workflow,continuous_integration
3f44ad1f-1dbe-06d8-bfcf-e3ce08d35fd0,e2e_tests_workflow,2025-04-23T18:42:44.391569,posthog/posthog_fork/.github/workflows/e2e-tests.yml,End-to-end test workflow,testing
cf9eaaef-ecec-716c-bb22-099d75670392,deploy_workflow,2025-04-23T18:42:44.391573,posthog/posthog_fork/.github/workflows/deploy.yml,Deployment workflow,deployment
6648a0c3-4059-c919-1937-138403151005,container_build_workflow,2025-04-23T18:42:44.391578,posthog/posthog_fork/.github/workflows/container-images.yml,Container image build workflow,build
df3b930a-3c39-da51-c332-3a74fae8f01e,datadog,2025-04-23T18:42:44.398608,posthog/posthog_fork/.github,datadog for monitoring,monitoring
8e188827-1231-caf1-2d1d-6d2c1f500980,prometheus,2025-04-23T18:42:44.398646,posthog/posthog_fork/.github,prometheus for monitoring,monitoring
aa9495e5-1913-7789-671e-5ac424bb0c84,grafana,2025-04-23T18:42:44.398683,posthog/posthog_fork/.github,grafana for monitoring,monitoring
7b1dbdad-c520-68e3-b80e-3306a5135d3b,newrelic,2025-04-23T18:42:44.398719,posthog/posthog_fork/.github,newrelic for monitoring,monitoring
498e5512-0fb3-7635-8239-98658e526ae7,cloudwatch,2025-04-23T18:42:44.398755,posthog/posthog_fork/.github,cloudwatch for monitoring,monitoring
6b4237e1-f59c-167d-afe0-7556700af861,elasticsearch,2025-04-23T18:42:44.398791,posthog/posthog_fork/.github,elasticsearch for logging,logging
887c87b4-4f42-6385-f747-426c2d0d6c5c,loki,2025-04-23T18:42:44.398830,posthog/posthog_fork/.github,loki for logging,logging
8a1bb595-21e6-2f48-9d26-786ee95b1e7c,splunk,2025-04-23T18:42:44.398866,posthog/posthog_fork/.github,splunk for logging,logging
c67fc0eb-7225-879c-0e8d-91a7065223db,cloudwatch_logs,2025-04-23T18:42:44.398903,posthog/posthog_fork/.github,cloudwatch_logs for logging,logging
3a371738-9adb-c586-66e3-35e10d16ccce,logstash,2025-04-23T18:42:44.398940,posthog/posthog_fork/.github,logstash for logging,logging
13d3f9a0-ccc6-4ba5-4f99-b326d4b844ce,pagerduty,2025-04-23T18:42:44.398981,posthog/posthog_fork/.github,pagerduty for alerting,alerting
1b672c2e-5c87-70fd-8ced-6f5eaee45946,opsgenie,2025-04-23T18:42:44.399021,posthog/posthog_fork/.github,opsgenie for alerting,alerting
3c543598-3e25-cd4c-fc4b-c17e7607711c,victorops,2025-04-23T18:42:44.399061,posthog/posthog_fork/.github,victorops for alerting,alerting
e18a5fbe-1600-9afd-bed0-6727fb637f65,alertmanager,2025-04-23T18:42:44.399102,posthog/posthog_fork/.github,alertmanager for alerting,alerting
7cd77dc3-c478-e728-98d2-803f4a71482d,snyk,2025-04-23T18:42:44.399143,posthog/posthog_fork/.github,snyk for security,security
dd315395-93ca-adb3-1e89-66447fd818cd,sonarqube,2025-04-23T18:42:44.399184,posthog/posthog_fork/.github,sonarqube for security,security
a5dac4fc-e52d-d824-d2e6-7bf1be92a263,veracode,2025-04-23T18:42:44.399225,posthog/posthog_fork/.github,veracode for security,security
63513246-3db3-b227-2234-e4d465dca4c1,checkmarx,2025-04-23T18:42:44.399266,posthog/posthog_fork/.github,checkmarx for security,security
787bd85b-6113-a68a-fa50-212a216e232d,trivy,2025-04-23T18:42:44.399307,posthog/posthog_fork/.github,trivy for security,security
fdf1e5d1-5927-ec07-497a-e0618f57bc70,jest,2025-04-23T18:42:44.399348,posthog/posthog_fork/.github,jest for testing,testing
098be207-8202-4ac7-a712-004278142860,cypress,2025-04-23T18:42:44.399391,posthog/posthog_fork/.github,cypress for testing,testing
37fe16bd-034e-f06c-c123-12fd2353f50d,playwright,2025-04-23T18:42:44.399433,posthog/posthog_fork/.github,playwright for testing,testing
ce5adaeb-dacf-e4fc-6d2e-173ccfe591fd,selenium,2025-04-23T18:42:44.399474,posthog/posthog_fork/.github,selenium for testing,testing
2b891060-ceea-8f1a-f04a-6a76a1109104,k6,2025-04-23T18:42:44.399516,posthog/posthog_fork/.github,k6 for testing,testing
a1cf4664-a8be-6ce3-8ff8-f9d2e6b87036,vscode,2025-04-23T18:42:44.399559,posthog/posthog_fork/.github,vscode for development,development
b1d9cb84-c81a-71c0-d232-d8f7db16df3b,github,2025-04-23T18:42:44.399604,posthog/posthog_fork/.github,github for development,development
f92e2465-a4ff-22e6-a391-69f3029f97ab,gitlab,2025-04-23T18:42:44.399647,posthog/posthog_fork/.github,gitlab for development,development
66fc3ca8-1f37-ba57-9427-9b50ce3a0c2b,bitbucket,2025-04-23T18:42:44.399690,posthog/posthog_fork/.github,bitbucket for development,development
8f0413ec-9256-c05f-e960-85f3e5079d03,jira,2025-04-23T18:42:44.399734,posthog/posthog_fork/.github,jira for development,development
4a613c74-4e0b-fbd5-27e0-29c844e7f814,amplitude,2025-04-23T18:42:44.399775,posthog/posthog_fork/.github,amplitude for analytics,analytics
